car,cylinders,displacement,horsepower,weight,model,origin
Chevrolet Chevelle Malibu,8,307,130,3504,70,US
Buick Skylark 320,8,350,165,3693,70,US
Plymouth Satellite,8,318,150,3436,70,US
AMC Rebel SST,8,304,150,3433,70,US
Ford Torino,8,302,140,3449,70,US
Ford Galaxie 500,8,429,198,4341,70,US
Chevrolet Impala,8,454,220,4354,70,US
Plymouth Fury iii,8,440,215,4312,70,US
Pontiac Catalina,8,455,225,4425,70,US
AMC Ambassador DPL,8,390,190,3850,70,US
Citroen DS-21 Pallas,4,133,115,3090,70,Europe
Chevrolet Chevelle Concours (sw),8,350,165,4142,70,US
Ford Torino (sw),8,351,153,4034,70,US
Plymouth Satellite (sw),8,383,175,4166,70,US
AMC Rebel SST (sw),8,360,175,3850,70,US
Dodge Challenger SE,8,383,170,3563,70,US
Plymouth 'Cuda 340,8,340,160,3609,70,US
Ford Mustang Boss 302,8,302,140,3353,70,US
Chevrolet Monte Carlo,8,400,150,3761,70,US
Buick Estate Wagon (sw),8,455,225,3086,70,US
Toyota Corolla Mark ii,4,113,95,2372,70,Japan
Plymouth Duster,6,198,95,2833,70,US
AMC Hornet,6,199,97,2774,70,US
Ford Maverick,6,200,85,2587,70,US
Datsun PL510,4,97,88,2130,70,Japan
Volkswagen 1131 Deluxe Sedan,4,97,46,1835,70,Europe
Peugeot 504,4,110,87,2672,70,Europe
Audi 100 LS,4,107,90,2430,70,Europe
Saab 99e,4,104,95,2375,70,Europe
BMW 2002,4,121,113,2234,70,Europe
AMC Gremlin,6,199,90,2648,70,US
Ford F250,8,360,215,4615,70,US
Chevy C20,8,307,200,4376,70,US
Dodge D200,8,318,210,4382,70,US
Hi 1200D,8,304,193,4732,70,US
Datsun PL510,4,97,88,2130,71,Japan
Chevrolet Vega 2300,4,140,90,2264,71,US
Toyota Corolla,4,113,95,2228,71,Japan
Volkswagen Super Beetle 117,4,97,48,1978,71,Europe
AMC Gremlin,6,232,100,2634,71,US
Plymouth Satellite Custom,6,220,105,3439,71,US
Chevrolet Chevelle Malibu,6,250,100,3329,71,US
Ford Torino 500,6,250,88,3302,71,US
AMC Matador,6,232,100,3288,71,US
Chevrolet Impala,8,350,165,4209,71,US
Pontiac Catalina Brougham,8,400,175,4464,71,US
Ford Galaxie 500,8,351,153,4154,71,US
Plymouth Fury iii,8,318,150,4096,71,US
Dodge Monaco (sw),8,383,180,4955,71,US
Ford Country Squire (sw),8,400,170,4746,71,US
